ID,Jugador,Equipo,Posicion,Edad,Partidos,Goles,Asistencias,ValorMercado
824,Carlos Silva,Barcelona,Delantero,36,10,7,10,71452733
825,Eduardo Lopez,Manchester City,Delantero,18,27,21,10,63110544
826,Carlos Garcia,PSG,Portero,40,27,0,1,1367311
827,Ricardo Torres,Arsenal,Delantero,21,32,26,19,175939478
828,Juan Lopez,Manchester City,Mediocampista,20,6,5,12,57214229
829,Diego Hernandez,Chelsea,Delantero,24,15,30,15,105505163
830,Diego Diaz,Liverpool,Mediocampista,20,34,2,0,148192289
831,Miguel Ramirez,Barcelona,Defensa,20,18,7,5,11149709
832,Miguel Lopez,Liverpool,Portero,22,13,0,0,66098363
833,Juan Silva,Arsenal,Delantero,33,6,26,7,52088356
834,Miguel Perez,Barcelona,Portero,26,27,0,1,161173181
835,Juan Silva,Bayern Munich,Portero,23,22,0,3,102935651
836,Javier Hernandez,Liverpool,Portero,24,25,0,1,124928305
837,Juan Hernandez,Real Madrid,Delantero,26,6,19,4,28062238
838,Diego Diaz,Barcelona,Delantero,40,32,31,16,126687994
839,Miguel Lopez,Manchester City,Mediocampista,22,32,7,12,18147956
840,Javier Flores,Liverpool,Delantero,23,11,3,11,28813082
841,Andres Silva,Manchester City,Delantero,20,38,33,1,181098236
842,Andres Garcia,PSG,Defensa,22,26,7,9,108856265
843,Ricardo Ramirez,Arsenal,Mediocampista,36,25,4,21,141953514
844,Ricardo Ramirez,Bayern Munich,Delantero,37,31,37,18,97315552
845,Juan Flores,Real Madrid,Mediocampista,28,28,6,24,135994145
846,Javier Lopez,Milan,Portero,20,32,0,1,161741300
847,Diego Diaz,Milan,Delantero,39,19,6,1,154151663
848,Ricardo Perez,Milan,Mediocampista,28,6,3,13,59914704
849,Luis Flores,Milan,Delantero,25,16,9,2,171203940
850,Andres Silva,Arsenal,Portero,29,20,0,1,120166927
851,Luis Flores,Milan,Mediocampista,34,9,6,8,25242781
852,Ricardo Flores,PSG,Portero,21,25,0,0,75471481
853,Eduardo Silva,Manchester City,Defensa,39,18,2,8,37264995
854,Miguel Diaz,Bayern Munich,Mediocampista,25,22,0,13,76139902
855,Luis Silva,Arsenal,Mediocampista,34,15,5,9,153778651
856,Juan Ruiz,Manchester City,Mediocampista,36,37,0,15,69943450
857,Carlos Perez,Juventus,Defensa,31,33,6,8,49650580
858,Miguel Torres,PSG,Defensa,20,18,8,4,120878250
859,Javier Garcia,Milan,Defensa,39,25,2,9,175868732
860,Fernando Silva,Manchester City,Delantero,24,16,25,3,152454085
861,Eduardo Lopez,Juventus,Defensa,35,8,3,2,162282770
862,Luis Silva,Milan,Delantero,31,33,10,0,18574686
863,Ricardo Torres,Chelsea,Mediocampista,35,12,0,0,72192518
864,Luis Lopez,PSG,Delantero,19,21,7,6,95573034
865,Miguel Perez,Bayern Munich,Delantero,27,38,3,12,163619924
866,Carlos Silva,Real Madrid,Defensa,22,31,8,7,191290649
867,Eduardo Ramirez,Liverpool,Portero,28,34,0,1,62345395
868,Juan Hernandez,Juventus,Delantero,38,12,36,1,42767587
869,Miguel Hernandez,Arsenal,Portero,28,19,0,1,128864911
870,Eduardo Silva,Real Madrid,Portero,40,37,0,1,112097753
871,Eduardo Lopez,Juventus,Portero,25,12,0,2,125644784
872,Carlos Garcia,Bayern Munich,Portero,23,9,0,1,62860671
873,Diego Perez,Chelsea,Mediocampista,21,28,8,16,48475768
874,Diego Garcia,Arsenal,Mediocampista,26,34,7,15,34089857
875,Fernando Ruiz,Barcelona,Delantero,34,38,15,19,33620231
876,Diego Flores,Arsenal,Delantero,18,35,21,17,184184493
877,Juan Lopez,Barcelona,Defensa,39,16,0,10,82355215
878,Luis Lopez,Bayern Munich,Portero,29,28,0,3,4232901
879,Diego Ramirez,Chelsea,Mediocampista,28,12,5,1,50637305
880,Diego Diaz,Milan,Mediocampista,27,23,7,15,92113301
881,Diego Perez,Juventus,Defensa,32,29,5,9,180191837
882,Andres Ruiz,Manchester City,Delantero,30,13,37,14,35006124
883,Fernando Lopez,Liverpool,Defensa,33,13,6,6,85243040
884,Eduardo Ramirez,Liverpool,Portero,18,16,0,2,155257561
885,Javier Silva,Chelsea,Portero,29,11,0,2,160910633
886,Miguel Garcia,Barcelona,Defensa,32,6,8,1,30710010
887,Carlos Silva,Barcelona,Mediocampista,24,13,12,9,44374350
888,Luis Garcia,Real Madrid,Portero,25,30,0,0,186493080
889,Andres Torres,Liverpool,Portero,35,16,0,2,61325378
890,Eduardo Ruiz,PSG,Mediocampista,26,23,2,12,153703976
891,Fernando Diaz,Chelsea,Mediocampista,22,28,0,10,122493525
892,Eduardo Ramirez,Chelsea,Delantero,24,15,15,7,28275286
893,Miguel Hernandez,Manchester City,Delantero,36,5,7,14,74092811
894,Juan Lopez,Milan,Mediocampista,26,7,15,11,57586763
895,Diego Hernandez,Bayern Munich,Portero,23,24,0,3,26927547
896,Andres Hernandez,PSG,Portero,20,26,0,3,73350357
897,Eduardo Ruiz,Arsenal,Defensa,19,14,0,3,179533105
898,Fernando Garcia,PSG,Defensa,23,19,4,10,77716169
899,Andres Perez,Bayern Munich,Defensa,33,21,3,0,199875336
900,Ricardo Lopez,Bayern Munich,Portero,29,12,0,1,194557065
901,Miguel Ramirez,Liverpool,Mediocampista,27,29,6,23,79458865
902,Javier Flores,Real Madrid,Delantero,18,31,36,1,170993864
903,Fernando Ruiz,Chelsea,Mediocampista,25,36,15,23,108746844
904,Miguel Garcia,Bayern Munich,Delantero,20,14,34,16,143586626
905,Diego Flores,Liverpool,Delantero,36,21,17,11,48793425
906,Luis Perez,Chelsea,Mediocampista,33,7,10,10,45223088
907,Fernando Lopez,Arsenal,Defensa,40,20,5,1,76749628
908,Diego Flores,Manchester City,Portero,32,12,0,2,67762159
909,Carlos Lopez,Liverpool,Delantero,29,11,30,0,60386406
910,Ricardo Garcia,PSG,Portero,18,23,0,3,41848501
911,Miguel Flores,Manchester City,Defensa,38,28,1,8,133860988
912,Diego Flores,Barcelona,Delantero,36,15,33,8,49979985
913,Carlos Hernandez,PSG,Portero,20,21,0,1,187685548
914,Eduardo Silva,Arsenal,Portero,24,12,0,3,157205672
915,Carlos Flores,Liverpool,Delantero,29,13,2,3,106105061
916,Ricardo Perez,Liverpool,Mediocampista,37,12,9,20,150386225
917,Juan Silva,Liverpool,Defensa,30,17,5,6,73906489
918,Ricardo Lopez,Juventus,Defensa,27,36,1,0,113853150
919,Diego Torres,Bayern Munich,Mediocampista,20,7,8,19,23916642
920,Carlos Flores,Real Madrid,Portero,19,18,0,3,48328036
921,Carlos Flores,Real Madrid,Mediocampista,29,36,15,17,79891068
922,Diego Diaz,Manchester City,Delantero,40,20,12,9,56899222
923,Miguel Lopez,Juventus,Defensa,38,10,8,7,43484252
924,Diego Silva,Juventus,Mediocampista,20,6,2,18,194006459
925,Javier Diaz,Liverpool,Mediocampista,22,31,10,13,177410477
926,Javier Silva,Milan,Mediocampista,40,27,2,5,95683989
927,Carlos Torres,Real Madrid,Portero,33,12,0,3,197705693
928,Diego Lopez,PSG,Mediocampista,18,30,12,1,47756830
929,Juan Flores,Real Madrid,Delantero,22,26,28,12,156919063
930,Miguel Perez,Liverpool,Mediocampista,33,10,15,4,43289775
931,Eduardo Silva,PSG,Portero,20,30,0,2,154274355
932,Diego Torres,Real Madrid,Delantero,40,31,1,5,148901578
933,Luis Hernandez,Arsenal,Defensa,26,35,0,7,157550910
934,Eduardo Torres,Chelsea,Mediocampista,38,38,14,17,192036146
935,Javier Silva,Milan,Portero,18,5,0,1,121284042
936,Andres Ruiz,Barcelona,Portero,30,8,0,0,170785381
937,Juan Torres,Bayern Munich,Portero,24,38,0,3,99117565
938,Carlos Ramirez,PSG,Mediocampista,28,35,14,2,146587727
939,Luis Ramirez,Real Madrid,Mediocampista,24,9,9,16,59260116
940,Miguel Ruiz,PSG,Portero,29,16,0,2,141783818
941,Miguel Ruiz,Bayern Munich,Mediocampista,25,25,8,4,59368592
942,Eduardo Ramirez,Manchester City,Portero,39,9,0,2,129310153
943,Diego Silva,Milan,Mediocampista,26,11,7,24,85402934
944,Carlos Diaz,Milan,Mediocampista,33,32,11,23,105985348
945,Eduardo Ruiz,Arsenal,Defensa,36,37,4,9,39003503
946,Fernando Torres,Liverpool,Portero,31,27,0,0,128007912
947,Eduardo Ruiz,Manchester City,Defensa,19,37,8,6,138760625
948,Carlos Hernandez,Manchester City,Mediocampista,30,15,1,14,161379660
949,Javier Garcia,Bayern Munich,Mediocampista,18,9,13,7,107463836
950,Luis Ruiz,Milan,Defensa,28,37,1,7,28534656
951,Fernando Lopez,Barcelona,Defensa,18,11,0,8,149333255
952,Andres Diaz,Manchester City,Portero,31,30,0,3,13472910
953,Diego Garcia,Milan,Delantero,34,8,13,13,172856250
954,Andres Silva,Chelsea,Mediocampista,38,17,0,23,196263310
955,Juan Torres,Liverpool,Portero,39,10,0,3,153558888
956,Fernando Diaz,Arsenal,Defensa,18,26,3,9,78469659
957,Andres Silva,Bayern Munich,Delantero,26,10,3,17,67918098
958,Luis Silva,Liverpool,Defensa,37,19,3,10,118102587
959,Carlos Hernandez,Liverpool,Portero,27,16,0,3,185095670
960,Diego Diaz,Arsenal,Portero,18,38,0,0,153340156
961,Luis Ramirez,Manchester City,Defensa,38,29,4,7,62884943
962,Carlos Silva,Barcelona,Mediocampista,30,5,4,21,12058282
963,Javier Diaz,Chelsea,Mediocampista,29,30,2,13,129356024
964,Juan Perez,Chelsea,Delantero,29,10,35,6,193543678
965,Carlos Lopez,Real Madrid,Delantero,37,29,11,2,165302041
966,Diego Flores,Juventus,Mediocampista,23,21,13,9,70537374
967,Juan Flores,PSG,Mediocampista,21,34,3,16,109791019
968,Diego Lopez,PSG,Portero,19,13,0,0,113304622
969,Eduardo Torres,Manchester City,Portero,35,8,0,3,77070981
970,Eduardo Perez,Juventus,Mediocampista,21,11,4,21,144772736
971,Ricardo Garcia,Manchester City,Mediocampista,27,29,7,13,52695450
972,Luis Hernandez,Milan,Mediocampista,32,29,7,20,56396598
973,Andres Lopez,Barcelona,Mediocampista,33,17,8,18,27266526
974,Andres Silva,Barcelona,Mediocampista,30,33,8,4,41540976
975,Miguel Perez,Juventus,Mediocampista,27,27,9,18,182601957
976,Juan Ramirez,Real Madrid,Mediocampista,20,27,12,1,149021337
977,Andres Torres,PSG,Portero,24,29,0,0,107071568
978,Carlos Ramirez,PSG,Delantero,18,13,12,4,6029606
979,Luis Ruiz,Juventus,Defensa,31,31,5,6,124598333
980,Diego Ruiz,Milan,Delantero,23,14,36,13,136581255
981,Ricardo Ruiz,Bayern Munich,Delantero,33,27,32,13,93009848
982,Andres Ruiz,Chelsea,Portero,23,14,0,1,151654630
983,Javier Flores,Liverpool,Defensa,40,18,7,5,42033778
984,Ricardo Ramirez,Milan,Portero,18,18,0,1,192694536
985,Fernando Lopez,PSG,Delantero,35,14,33,9,117515922
986,Eduardo Hernandez,Manchester City,Portero,25,22,0,1,128233797
987,Carlos Flores,Arsenal,Portero,28,30,0,1,69077819
988,Miguel Ramirez,Arsenal,Defensa,19,6,0,6,108593393
989,Ricardo Flores,Barcelona,Mediocampista,21,10,7,17,87481473
990,Carlos Ruiz,Juventus,Delantero,22,26,23,15,126691154
991,Ricardo Ramirez,Chelsea,Portero,39,29,0,3,40166384
992,Diego Garcia,Real Madrid,Portero,40,9,0,2,47929478
993,Luis Torres,Real Madrid,Defensa,33,14,0,8,139452729
994,Javier Lopez,Manchester City,Mediocampista,28,14,15,14,103134048
995,Javier Torres,Barcelona,Defensa,37,32,7,4,138712497
996,Carlos Perez,Liverpool,Mediocampista,20,31,3,4,160408329
997,Carlos Silva,PSG,Mediocampista,34,6,14,10,99549960
998,Javier Garcia,Real Madrid,Defensa,34,36,2,6,1875754
999,Luis Hernandez,Arsenal,Portero,19,31,0,2,87627541
1000,Miguel Ruiz,Arsenal,Defensa,23,13,8,0,68794202
1001,Juan Torres,Arsenal,Mediocampista,35,34,15,20,99202987
1002,Juan Hernandez,PSG,Portero,33,25,0,1,73065768
1003,Miguel Flores,Arsenal,Mediocampista,38,12,15,14,99210228
1004,Carlos Perez,PSG,Mediocampista,38,31,7,10,88593314
1005,Diego Ramirez,Arsenal,Defensa,27,16,1,3,131712254
1006,Luis Torres,PSG,Mediocampista,22,26,9,22,41369879
1007,Fernando Hernandez,PSG,Mediocampista,35,14,7,0,101369430
1008,Andres Perez,Real Madrid,Portero,24,6,0,0,130790273
1009,Ricardo Silva,PSG,Delantero,22,30,40,20,56370999
1010,Ricardo Torres,Arsenal,Delantero,31,38,23,0,52195210
1011,Andres Flores,Barcelona,Defensa,22,31,5,7,62982973
1012,Luis Torres,Real Madrid,Portero,33,16,0,3,146674015
1013,Juan Hernandez,Chelsea,Defensa,22,27,6,0,163871637
1014,Diego Ramirez,PSG,Mediocampista,22,6,1,5,111123462
1015,Luis Diaz,Bayern Munich,Portero,20,30,0,0,56419823
1016,Diego Ruiz,Juventus,Portero,23,37,0,3,194553336
1017,Miguel Diaz,PSG,Portero,37,16,0,2,173814289
1018,Carlos Torres,PSG,Defensa,21,26,8,3,130573047
1019,Miguel Torres,Liverpool,Portero,29,31,0,3,84558305
1020,Diego Torres,Liverpool,Delantero,34,20,3,10,48701989
1021,Ricardo Diaz,Barcelona,Delantero,27,19,14,1,38862449
1022,Ricardo Diaz,Juventus,Delantero,25,27,10,7,144922072
1023,Fernando Ruiz,Barcelona,Portero,28,14,0,2,107074864
1024,Miguel Flores,Juventus,Delantero,24,38,21,15,61767584
1025,Carlos Flores,Real Madrid,Portero,19,32,0,1,143145522
1026,Andres Diaz,Juventus,Defensa,20,10,7,10,78520931
1027,Fernando Torres,PSG,Delantero,22,34,39,15,69155836
1028,Ricardo Silva,Chelsea,Defensa,34,36,0,0,155094758
1029,Fernando Hernandez,Juventus,Portero,36,15,0,3,112069156
1030,Luis Garcia,Chelsea,Delantero,32,15,14,14,153708705
1031,Carlos Torres,Barcelona,Portero,28,10,0,3,162719109
1032,Juan Perez,Manchester City,Defensa,27,35,2,7,126238593
1033,Juan Silva,PSG,Mediocampista,32,15,15,16,135265158
1034,Eduardo Hernandez,Liverpool,Portero,37,37,0,1,135836729
1035,Ricardo Lopez,Chelsea,Delantero,27,15,6,4,137404465
1036,Juan Garcia,Juventus,Portero,29,19,0,3,71879749
1037,Javier Flores,Juventus,Mediocampista,35,35,8,18,161099203
1038,Luis Lopez,Chelsea,Defensa,38,18,7,5,70352565
1039,Luis Lopez,Juventus,Mediocampista,39,16,1,22,153879975
1040,Javier Ramirez,Chelsea,Portero,37,22,0,0,34638314
1041,Javier Silva,PSG,Defensa,27,27,0,3,4714316
1042,Juan Lopez,Milan,Mediocampista,34,28,11,21,195160617
1043,Fernando Lopez,Juventus,Defensa,39,11,1,6,25815784
1044,Fernando Torres,Milan,Delantero,34,6,5,9,104420130
1045,Fernando Hernandez,Real Madrid,Mediocampista,37,32,6,24,15297668
1046,Carlos Diaz,Arsenal,Portero,19,18,0,1,132385543
1047,Juan Ramirez,Juventus,Delantero,39,12,5,19,161127510
1048,Diego Torres,Bayern Munich,Defensa,37,34,5,8,137435481
1049,Juan Garcia,Chelsea,Delantero,32,37,33,7,192804017
1050,Carlos Perez,Arsenal,Defensa,32,33,2,2,144495181
1051,Javier Torres,Arsenal,Portero,19,28,0,1,182898522
1052,Eduardo Silva,Juventus,Defensa,33,23,3,4,28531587
1053,Juan Silva,Manchester City,Delantero,19,15,0,18,32412888
1054,Fernando Ruiz,Manchester City,Defensa,28,29,2,7,94648121
1055,Andres Silva,Juventus,Mediocampista,34,9,3,12,188659489
1056,Andres Silva,Real Madrid,Portero,35,11,0,3,131941978
1057,Andres Diaz,Arsenal,Portero,35,26,0,2,33385057
1058,Andres Ramirez,Manchester City,Delantero,33,38,24,0,113208550
1059,Javier Garcia,Real Madrid,Defensa,24,6,3,3,182311861
1060,Diego Garcia,Juventus,Mediocampista,40,32,4,14,198172975
1061,Andres Perez,Milan,Delantero,19,30,33,8,58136888
1062,Andres Silva,Barcelona,Defensa,26,24,1,7,93927911
1063,Andres Ramirez,Arsenal,Defensa,32,19,0,10,195287557
1064,Andres Garcia,Liverpool,Portero,19,10,0,3,129935918
1065,Luis Ramirez,Juventus,Portero,24,30,0,1,104036499
1066,Fernando Hernandez,Liverpool,Portero,36,37,0,1,131870002
1067,Miguel Hernandez,Barcelona,Mediocampista,30,27,8,0,3425244
1068,Miguel Diaz,Real Madrid,Mediocampista,21,23,10,14,158402958
1069,Luis Flores,Arsenal,Portero,32,29,0,2,125550241
1070,Juan Flores,Barcelona,Mediocampista,38,32,14,3,53389704
1071,Juan Silva,Chelsea,Delantero,25,21,21,5,33327434
1072,Eduardo Hernandez,Milan,Mediocampista,29,7,1,10,31944037
1073,Eduardo Garcia,Liverpool,Mediocampista,18,7,11,4,153727693
1074,Carlos Lopez,Bayern Munich,Portero,29,21,0,3,128410921
1075,Eduardo Hernandez,Bayern Munich,Defensa,24,20,0,10,33140148
1076,Javier Hernandez,Juventus,Delantero,40,8,16,2,135018496
1077,Miguel Lopez,Chelsea,Portero,24,30,0,2,134539403
1078,Fernando Flores,Manchester City,Delantero,36,18,5,13,165847292
1079,Juan Hernandez,PSG,Defensa,33,15,3,10,178757705
1080,Luis Ruiz,PSG,Portero,20,38,0,3,104643125
1081,Eduardo Flores,Chelsea,Defensa,36,9,2,2,6656062
1082,Luis Diaz,PSG,Mediocampista,27,35,8,4,152890790
1083,Juan Hernandez,Manchester City,Mediocampista,23,8,7,19,8246002
1084,Diego Hernandez,Milan,Defensa,37,15,2,4,79768696
1085,Eduardo Silva,PSG,Mediocampista,38,26,10,18,103116130
1086,Andres Ramirez,Barcelona,Delantero,29,38,2,6,135781031
1087,Andres Lopez,Chelsea,Mediocampista,24,31,12,19,97523356
1088,Carlos Flores,Juventus,Defensa,37,29,4,8,58765116
1089,Fernando Silva,PSG,Delantero,35,14,13,5,90539381
1090,Fernando Flores,Chelsea,Mediocampista,36,17,10,0,182425488
1091,Luis Ramirez,Real Madrid,Portero,31,30,0,3,15482093
1092,Miguel Hernandez,Real Madrid,Delantero,31,9,28,18,49564780
1093,Fernando Flores,Arsenal,Defensa,18,27,7,8,92082902
1094,Diego Perez,Bayern Munich,Portero,35,23,0,1,117778637
1095,Ricardo Lopez,Liverpool,Delantero,25,8,13,13,194498815
1096,Eduardo Ramirez,Real Madrid,Portero,28,8,0,0,6634978
1097,Luis Perez,Barcelona,Portero,25,33,0,1,64845761
1098,Luis Hernandez,Bayern Munich,Mediocampista,19,21,7,15,57281221
1099,Luis Ramirez,PSG,Mediocampista,32,17,8,19,37662139
1100,Javier Perez,Real Madrid,Delantero,26,29,5,0,105543705
1101,Miguel Perez,Milan,Portero,21,23,0,1,30799737
1102,Carlos Hernandez,Chelsea,Delantero,33,7,31,4,120285882
1103,Carlos Ruiz,Manchester City,Mediocampista,39,26,4,17,150069621
1104,Andres Silva,PSG,Portero,18,9,0,3,163899483
1105,Fernando Silva,Manchester City,Delantero,37,26,14,13,63877904
1106,Juan Ruiz,Liverpool,Defensa,33,5,8,6,63459314
1107,Andres Diaz,Bayern Munich,Mediocampista,39,15,6,6,148077245
1108,Luis Flores,Bayern Munich,Mediocampista,19,18,13,25,169228018
1109,Ricardo Silva,Real Madrid,Defensa,24,21,1,3,13838939
1110,Andres Garcia,Manchester City,Defensa,18,26,8,1,96145362
1111,Luis Ruiz,Bayern Munich,Delantero,19,36,26,9,133228698
1112,Fernando Garcia,Liverpool,Mediocampista,27,22,15,20,181670878
1113,Miguel Flores,Real Madrid,Delantero,18,30,29,10,76881590
1114,Andres Torres,Chelsea,Defensa,28,28,8,7,49300306
1115,Carlos Ruiz,PSG,Defensa,18,8,8,9,150623300
1116,Fernando Hernandez,Juventus,Delantero,33,25,14,7,149193910
1117,Luis Perez,PSG,Defensa,34,24,6,8,140103130
1118,Eduardo Silva,Manchester City,Defensa,35,32,0,0,160485331
1119,Miguel Perez,Manchester City,Defensa,26,18,8,0,106458896
1120,Eduardo Silva,Chelsea,Mediocampista,28,27,14,16,137215323
1121,Ricardo Lopez,Liverpool,Portero,21,12,0,2,80910195
1122,Andres Perez,Milan,Mediocampista,30,13,13,0,44148946
1123,Juan Hernandez,Liverpool,Defensa,20,33,2,3,193944259
1124,Diego Perez,Juventus,Portero,39,27,0,1,38000190
1125,Carlos Garcia,Juventus,Defensa,22,17,2,10,40364373
1126,Diego Ruiz,Manchester City,Mediocampista,23,14,2,17,191574236
1127,Carlos Garcia,PSG,Portero,33,23,0,0,170225265
1128,Diego Perez,Arsenal,Defensa,34,31,7,4,104005193
1129,Ricardo Torres,Real Madrid,Delantero,24,29,18,17,36440136
1130,Carlos Torres,Barcelona,Portero,32,33,0,0,90348803
1131,Eduardo Ramirez,Juventus,Mediocampista,40,37,11,1,27092512
1132,Juan Diaz,PSG,Mediocampista,34,38,0,2,158405601
1133,Andres Garcia,Real Madrid,Portero,21,30,0,3,131446368
1134,Ricardo Lopez,Manchester City,Portero,18,35,0,2,137366641
1135,Miguel Ruiz,Juventus,Delantero,36,15,21,18,3839169
1136,Carlos Hernandez,Bayern Munich,Delantero,31,37,36,7,168157131
1137,Ricardo Ramirez,Real Madrid,Defensa,32,13,5,4,24484268
1138,Andres Hernandez,Real Madrid,Delantero,37,35,15,17,95799532
1139,Diego Silva,Chelsea,Mediocampista,32,37,0,22,80191076
1140,Luis Lopez,Manchester City,Mediocampista,38,24,4,7,74520579
1141,Eduardo Perez,Manchester City,Portero,37,24,0,0,112994713
1142,Fernando Ruiz,Bayern Munich,Delantero,27,35,30,5,45710489
1143,Diego Lopez,Arsenal,Delantero,32,15,9,20,126567045
1144,Ricardo Silva,Liverpool,Mediocampista,35,14,5,19,93168094
1145,Miguel Ramirez,Juventus,Defensa,25,28,5,2,2485184
1146,Luis Flores,Juventus,Defensa,36,8,5,5,9672010
1147,Javier Silva,Barcelona,Delantero,31,11,9,16,46687596
1148,Carlos Hernandez,Milan,Defensa,27,27,5,3,130718270
1149,Carlos Lopez,Manchester City,Mediocampista,28,7,8,11,11802397
1150,Eduardo Ramirez,Liverpool,Portero,18,12,0,0,184685941
1151,Miguel Torres,Real Madrid,Mediocampista,34,34,5,5,175720071
1152,Eduardo Hernandez,Barcelona,Defensa,19,35,5,6,5324053
1153,Fernando Diaz,Arsenal,Defensa,39,18,6,9,5526877
1154,Diego Torres,Barcelona,Delantero,40,24,3,10,141047553
1155,Juan Ramirez,Milan,Delantero,34,9,15,15,198177793
1156,Luis Diaz,Barcelona,Portero,29,23,0,2,132968292
1157,Javier Ruiz,Arsenal,Mediocampista,28,21,12,12,91993385
1158,Javier Torres,Real Madrid,Portero,32,16,0,0,41880751
1159,Ricardo Hernandez,Milan,Defensa,38,34,6,0,55735980
1160,Fernando Flores,Liverpool,Defensa,19,10,8,6,92791268
1161,Andres Lopez,Bayern Munich,Portero,28,25,0,0,123447335
1162,Eduardo Diaz,Manchester City,Portero,20,19,0,0,175676336
1163,Fernando Lopez,PSG,Defensa,33,24,7,5,98449501
1164,Miguel Ramirez,Manchester City,Defensa,40,27,3,7,15332490
1165,Miguel Diaz,Barcelona,Mediocampista,40,32,0,9,155182024
1166,Fernando Garcia,Real Madrid,Delantero,18,19,33,1,34882805
1167,Eduardo Ruiz,PSG,Mediocampista,18,5,1,20,12596011
1168,Javier Ruiz,Liverpool,Defensa,35,8,0,2,35549521
1169,Carlos Ruiz,Milan,Mediocampista,29,26,11,18,26535092
1170,Fernando Ramirez,Bayern Munich,Delantero,35,12,0,15,32698911
1171,Juan Diaz,Chelsea,Mediocampista,28,13,14,24,128281548
1172,Juan Ruiz,Chelsea,Delantero,28,14,22,5,137168299
1173,Carlos Flores,Liverpool,Mediocampista,26,20,13,15,170569336
1174,Ricardo Silva,PSG,Mediocampista,30,20,7,20,120366501
1175,Juan Ruiz,Arsenal,Delantero,40,29,31,9,53793545
1176,Luis Ruiz,Real Madrid,Portero,32,6,0,3,192716648
1177,Fernando Silva,Manchester City,Mediocampista,24,13,12,11,181341301
1178,Miguel Perez,Milan,Delantero,18,10,8,11,196551072
1179,Eduardo Perez,PSG,Portero,23,26,0,0,149661037
1180,Luis Diaz,Arsenal,Portero,32,15,0,3,119532279
1181,Juan Ruiz,Chelsea,Portero,23,17,0,1,141452144
1182,Ricardo Ruiz,Manchester City,Mediocampista,38,22,13,20,165600717
1183,Fernando Torres,Chelsea,Portero,29,6,0,3,186374560
1184,Luis Flores,Real Madrid,Delantero,29,20,30,1,9846826
1185,Carlos Flores,Liverpool,Defensa,30,9,8,3,127937503
1186,Fernando Perez,Manchester City,Portero,38,14,0,3,80603022
1187,Carlos Diaz,PSG,Mediocampista,23,27,2,5,88041436
1188,Ricardo Garcia,Liverpool,Delantero,36,15,10,7,194329836
1189,Miguel Garcia,Arsenal,Portero,40,6,0,2,188567803
1190,Diego Diaz,Milan,Delantero,34,10,32,0,45482792
1191,Andres Ramirez,PSG,Portero,20,14,0,0,143180709
1192,Juan Ramirez,Arsenal,Defensa,31,27,1,9,138711530
1193,Diego Garcia,Barcelona,Defensa,28,30,7,2,135493234
1194,Luis Silva,Juventus,Defensa,31,27,1,0,129226159
1195,Eduardo Flores,Juventus,Delantero,22,32,6,14,2574067
1196,Miguel Lopez,Manchester City,Portero,26,5,0,3,107358250
1197,Diego Perez,Arsenal,Mediocampista,30,15,15,17,196666586
1198,Miguel Ramirez,Milan,Defensa,36,8,5,0,27312232
1199,Eduardo Torres,Real Madrid,Mediocampista,35,13,7,0,143045096
1200,Carlos Ruiz,Manchester City,Delantero,29,5,36,4,187136032
1201,Andres Garcia,Chelsea,Mediocampista,18,22,11,17,23713590
1202,Carlos Garcia,Real Madrid,Portero,20,29,0,2,46181169
1203,Fernando Hernandez,Bayern Munich,Portero,38,15,0,2,123658398
1204,Fernando Lopez,Liverpool,Portero,32,23,0,1,50128864
1205,Fernando Ruiz,Arsenal,Portero,34,21,0,0,185323502
1206,Luis Silva,Real Madrid,Mediocampista,32,36,10,22,48847723
1207,Javier Hernandez,PSG,Defensa,22,6,1,2,68055648
1208,Eduardo Silva,Real Madrid,Mediocampista,20,12,7,0,19630306
1209,Carlos Hernandez,Liverpool,Defensa,28,17,5,2,183736653
1210,Andres Garcia,Arsenal,Mediocampista,39,5,1,16,116137685
1211,Fernando Flores,Arsenal,Mediocampista,31,19,9,5,192754913
1212,Eduardo Hernandez,Milan,Mediocampista,25,8,12,17,78096845
1213,Miguel Torres,Chelsea,Mediocampista,35,38,3,23,39974596
1214,Ricardo Silva,Bayern Munich,Delantero,31,18,27,16,82509456
1215,Luis Ramirez,Arsenal,Mediocampista,24,32,9,9,115651957
1216,Ricardo Flores,Barcelona,Delantero,39,29,32,3,92651918
1217,Carlos Garcia,Arsenal,Portero,31,9,0,2,89160486
1218,Javier Garcia,Barcelona,Defensa,38,38,4,2,71049242
1219,Carlos Flores,Real Madrid,Mediocampista,30,21,11,19,147394434
1220,Andres Ruiz,Chelsea,Portero,36,8,0,3,1093388
1221,Miguel Lopez,Bayern Munich,Portero,24,26,0,3,27655654
1222,Diego Silva,Liverpool,Delantero,22,14,4,20,164178726
1223,Juan Perez,Barcelona,Defensa,28,18,4,1,67667716
1224,Juan Ramirez,Bayern Munich,Defensa,30,14,4,2,100910924
1225,Javier Torres,Juventus,Defensa,24,5,7,5,113995156
1226,Carlos Diaz,Milan,Portero,36,25,0,3,128730307
1227,Luis Ruiz,Chelsea,Defensa,27,17,6,0,162255975
1228,Eduardo Garcia,Barcelona,Portero,19,23,0,1,14378124
1229,Javier Flores,Real Madrid,Defensa,33,16,2,3,159679945
1230,Javier Hernandez,Chelsea,Portero,34,20,0,0,52203922
